Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,BURSTMODE,ReadProtected,WriteProtected,CalReg
PAGE_IDENTIFIER,0,0,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
DATA_CNT,0,4,2,0,1,16,1,0,0,NONE,,FALSE,FALSE,FALSE
STATUS,0,8,2,0,1,16,1,0,0,NONE,0,FALSE,FALSE,FALSE
DIAG_STS,0,10,2,0,1,16,1,0,0,NONE,,FALSE,FALSE,FALSE
TEMP_OUT,0,14,2,0,1,16,1,0,1,NONE,1,FALSE,FALSE,FALSE
X_GYRO_LOW,0,16,4,0,1,32,1,0,1,NONE,2,FALSE,FALSE,FALSE
X_GYRO_OUT,0,18,2,0,1,16,1,0,1,NONE,3,FALSE,FALSE,FALSE
Y_GYRO_LOW,0,20,4,0,1,32,1,0,1,NONE,4,FALSE,FALSE,FALSE
Y_GYRO_OUT,0,22,2,0,1,16,1,0,1,NONE,5,FALSE,FALSE,FALSE
Z_GYRO_LOW,0,24,4,0,1,32,1,0,1,NONE,6,FALSE,FALSE,FALSE
Z_GYRO_OUT,0,26,2,0,1,16,1,0,1,NONE,7,FALSE,FALSE,FALSE
X_ACCL_LOW,0,28,4,0,1,32,1,0,1,NONE,8,FALSE,FALSE,FALSE
X_ACCL_OUT,0,30,2,0,1,16,1,0,1,NONE,9,FALSE,FALSE,FALSE
Y_ACCL_LOW,0,32,4,0,1,32,1,0,1,NONE,10,FALSE,FALSE,FALSE
Y_ACCL_OUT,0,34,2,0,1,16,1,0,1,NONE,11,FALSE,FALSE,FALSE
Z_ACCL_LOW,0,36,4,0,1,32,1,0,1,NONE,12,FALSE,FALSE,FALSE
Z_ACCL_OUT,0,38,2,0,1,16,1,0,1,NONE,13,FALSE,FALSE,FALSE
TIME_STAMP,0,40,2,0,1,16,1,0,0,NONE,14,FALSE,FALSE,FALSE
CRC_LWR,0,42,2,0,1,16,1,0,0,NONE,15,FALSE,FALSE,FALSE
CRC_UPR,0,44,2,0,1,16,1,0,0,NONE,16,FALSE,FALSE,FALSE
X_DELTANG_LR,0,64,4,0,1,32,1,0,1,NONE,17,FALSE,FALSE,FALSE
X_DELTANG_UR,0,66,2,0,1,16,1,0,1,NONE,18,FALSE,FALSE,FALSE
Y_DELTANG_LR,0,68,4,0,1,32,1,0,1,NONE,19,FALSE,FALSE,FALSE
Y_DELTANG_UR,0,70,2,0,1,16,1,0,1,NONE,20,FALSE,FALSE,FALSE
Z_DELTANG_LR,0,72,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Z_DELTANG_UR,0,74,2,0,1,16,1,0,1,NONE,,FALSE,FALSE,FALSE
X_DELTVEL_LR,0,76,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
X_DELTVEL_UR,0,78,2,0,1,16,1,0,1,NONE,,FALSE,FALSE,FALSE
Y_DELTVEL_LR,0,80,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Y_DELTVEL_UR,0,82,2,0,1,16,1,0,1,NONE,,FALSE,FALSE,FALSE
Z_DELTVEL_LR,0,84,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Z_DELTVEL_UR,0,86,2,0,1,16,1,0,1,NONE,,FALSE,FALSE,FALSE
BURST_CMD,0,124,2,0,1,16,0,0,1,NONE,T,FALSE,FALSE,FALSE
PROD_ID,0,126,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
PAGE_IDENTIFIER,2,0,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
X_GYRO_SCALE,2,4,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
Y_GYRO_SCALE,2,6,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
Z_GYRO_SCALE,2,8,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
X_ACCL_SCALE,2,10,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
Y_ACCL_SCALE,2,12,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
Z_ACCL_SCALE,2,14,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
XG_BIAS_LOW,2,16,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
XG_BIAS_HIGH,2,18,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
YG_BIAS_LOW,2,20,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YG_BIAS_HIGH,2,22,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
ZG_BIAS_LOW,2,24,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZG_BIAS_HIGH,2,26,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
XA_BIAS_LOW,2,28,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
XA_BIAS_HIGH,2,30,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
YA_BIAS_LOW,2,32,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YA_BIAS_HIGH,2,34,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
ZA_BIAS_LOW,2,36,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZA_BIAS_HIGH,2,38,2,0,1,16,1,1,1,0,,FALSE,FALSE,FALSE
USER_SCR_1,2,116,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
USER_SCR_2,2,118,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
USER_SCR_3,2,120,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
USER_SCR_4,2,122,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
ENDURANCE_LWR,2,124,2,0,1,16,1,0,0,NONE,,FALSE,FALSE,FALSE
ENDURANCE_UPR,2,126,2,0,1,16,1,0,0,NONE,,FALSE,FALSE,FALSE
PAGE_IDENTIFIER,3,0,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
GLOB_CMD,3,2,2,0,1,16,0,1,0,NONE,,FALSE,FALSE,FALSE
FNCTIO_CTRL,3,6,2,0,1,16,1,1,0,13,,FALSE,FALSE,FALSE
GPIO_CTRL,3,8,2,0,1,16,1,1,0,0,,FALSE,FALSE,FALSE
CONFIG,3,10,2,0,1,16,1,1,0,64,,FALSE,FALSE,FALSE
DECIMATE,3,12,2,0,1,16,1,1,0,0,,FALSE,FALSE,FALSE
NULL_CNFG,3,14,2,0,1,16,1,1,0,1802,,FALSE,FALSE,FALSE
UPSCALE,3,16,2,0,1,16,1,1,0,4000,,FALSE,FALSE,FALSE
RANGE,3,18,2,0,1,16,1,1,0,15,,FALSE,FALSE,FALSE
CMF_CTRL,3,20,2,0,1,16,1,1,0,2570,,FALSE,FALSE,FALSE
FILTR_BNK_0,3,22,2,0,1,16,1,1,0,0,,FALSE,FALSE,FALSE
FILTR_BNK_1,3,24,2,0,1,16,1,1,0,0,,FALSE,FALSE,FALSE
REV,3,120,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
DAY_MONTH,3,122,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
YEAR,3,124,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
BOOT_REV,3,126,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
PAGE_IDENTIFIER,4,0,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
SIGNATURE_LWR,4,4,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
SIGNATURE_UPR,4,6,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CHCKSUM_LWR,4,8,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CHCKSUM_UPR,4,10,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CODESIG_LWR,4,12,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CODESIG_UPR,4,14,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CODEDRV_LWR,4,16,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
CODEDRV_UPR,4,18,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
SERIAL_NUM,4,32,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
PAGE_IDENTIFIER,5,0,2,0,1,16,1,1,0,NONE,,FALSE,FALSE,FALSE
BNKA_C0,5,8,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C1,5,10,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C2,5,12,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C3,5,14,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C4,5,16,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C5,5,18,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C6,5,20,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C7,5,22,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C8,5,24,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C9,5,26,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C10,5,28,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C11,5,30,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C12,5,32,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C13,5,34,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C14,5,36,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C15,5,38,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C16,5,40,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C17,5,42,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C18,5,44,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C19,5,46,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C20,5,48,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C21,5,50,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C22,5,52,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C23,5,54,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C24,5,56,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C25,5,58,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C26,5,60,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C27,5,62,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C28,5,64,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C29,5,66,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C30,5,68,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C31,5,70,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C32,5,72,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C33,5,74,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C34,5,76,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C35,5,78,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C36,5,80,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
BNKA_C37,5,82,2,0,1,16,1,1,1,NONE,,FALSE,FALSE,FALSE
