Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,CalReg,HIDDEN,BURSTMODE
STATUS,0,2,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,0
X_GYRO_LOW,0,4,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_GYRO_OUT,0,6,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,1
Y_GYRO_LOW,0,8,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_GYRO_OUT,0,10,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,2
Z_GYRO_LOW,0,12,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_GYRO_OUT,0,14,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,3
X_ACCL_LOW,0,16,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_ACCL_OUT,0,18,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,4
Y_ACCL_LOW,0,20,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_ACCL_OUT,0,22,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,5
Z_ACCL_LOW,0,24,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_ACCL_OUT,0,26,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,6
TEMP_OUT,0,28,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,7
TIME_STAMP,0,30,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,8
DATA_CNTR,0,34,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
X_DELTANG_LOW,0,36,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DELTANG_OUT,0,38,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DELTANG_LOW,0,40,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DELTANG_OUT,0,42,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DELTANG_LOW,0,44,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DELTANG_OUT,0,46,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DELTVEL_LOW,0,48,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
X_DELTVEL_OUT,0,50,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DELTVEL_LOW,0,52,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Y_DELTVEL_OUT,0,54,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DELTVEL_LOW,0,56,4,0,1,32,TRUE,FALSE,TRUE,none,FALSE,FALSE,
Z_DELTVEL_OUT,0,58,2,0,1,16,TRUE,FALSE,TRUE,none,FALSE,FALSE,
XG_BIAS_LOW,0,64,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XG_BIAS_HIGH,0,66,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YG_BIAS_LOW,0,68,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YG_BIAS_HIGH,0,70,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZG_BIAS_LOW,0,72,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZG_BIAS_HIGH,0,74,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XA_BIAS_LOW,0,76,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
XA_BIAS_HIGH,0,78,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YA_BIAS_LOW,0,80,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
YA_BIAS_HIGH,0,82,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZA_BIAS_LOW,0,84,2,0,1,32,TRUE,TRUE,TRUE,none,TRUE,FALSE,
ZA_BIAS_HIGH,0,86,2,0,1,16,TRUE,TRUE,TRUE,none,TRUE,FALSE,
FILT_CTRL,0,92,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
RANG_MDL,0,94,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
MSC_CTRL,0,96,2,0,1,16,TRUE,TRUE,FALSE,193,FALSE,FALSE,
UP_SCALE,0,98,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
DEC_RATE,0,100,2,0,1,16,TRUE,TRUE,FALSE,0,FALSE,FALSE,
GLOB_CMD,0,104,2,0,1,16,FALSE,TRUE,FALSE,none,FALSE,FALSE,T
FIRM_REV,0,108,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
FIRM_DM,0,110,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
FIRM_Y,0,112,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
PROD_ID,0,114,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
SERIAL_NUM,0,116,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR1,0,118,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
