Label,Page,Addr,ReadFlag,WriteFlag,ReadProtected,WriteProtected,Default,NumBytes,ReadLen,TwosCompl,CalReg,RegOffset,RegScale,FLASHABLE,BURSTMODE
PAGE_ID,253,0,1,1,0,0,253,2,16,0,0,0,1,0,
BUF_CONFIG,253,2,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_LEN,253,4,1,1,0,0,20,2,16,0,0,0,1,1,
BUF_MAX_CNT,253,6,1,1,0,0,NONE,2,16,0,0,0,1,1,
DIO_INPUT_CONFIG,253,8,1,1,0,0,17,2,16,0,0,0,1,1,
DIO_OUTPUT_CONFIG,253,10,1,1,0,0,33825,2,16,0,0,0,1,1,
WATERMARK_INT_CONFIG,253,12,1,1,0,0,32,2,16,0,0,0,1,1,
ERROR_INT_CONFIG,253,14,1,1,0,0,65532,2,16,0,0,0,1,1,
IMU_SPI_CONFIG,253,16,1,1,0,0,4111,2,16,0,0,0,1,1,
USER_SPI_CONFIG,253,18,1,1,0,0,7,2,16,0,0,0,1,1,
USB_CONFIG,253,20,1,1,0,0,8192,2,16,0,0,0,1,1,
USER_COMMAND,253,22,1,1,0,0,NONE,2,16,0,0,0,1,1,
USER_SCR_0,253,24,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_1,253,26,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_2,253,28,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_3,253,30,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_4,253,32,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_5,253,34,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_6,253,36,1,1,0,0,0,2,16,0,0,0,1,1,
USER_SCR_7,253,38,1,1,0,0,0,2,16,0,0,0,1,1,
FW_REV,253,40,1,0,0,0,NONE,2,16,0,0,0,1,1,
ENDURANCE,253,42,1,0,0,0,NONE,2,16,0,0,0,1,1,
STATUS,253,64,1,0,0,0,NONE,2,16,0,0,0,1,0,
BUF_CNT,253,66,1,0,0,0,NONE,2,16,0,0,0,1,0,
FAULT_CODE,253,68,1,0,0,0,NONE,2,16,0,0,0,1,0,
UTC_TIME_LWR,253,70,1,1,0,0,NONE,2,16,0,0,0,1,0,
UTC_TIME_UPR,253,72,1,1,0,0,NONE,2,16,0,0,0,1,0,
TIMESTAMP_LWR,253,74,1,0,0,0,NONE,2,16,0,0,0,1,0,
TIMESTAMP_UPR,253,76,1,0,0,0,NONE,2,16,0,0,0,1,0,
TEMP,253,78,1,0,0,0,NONE,2,16,0,0,0,1,0,
FW_DAY_MONTH,253,112,1,0,0,0,NONE,2,16,0,0,0,1,1,
FW_YEAR,253,114,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_0,253,116,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_1,253,118,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_2,253,120,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_3,253,122,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_4,253,124,1,0,0,0,NONE,2,16,0,0,0,1,1,
DEV_SN_5,253,126,1,0,0,0,NONE,2,16,0,0,0,1,1,
PAGE_ID,254,0,1,1,0,0,254,2,16,0,0,0,1,0,
BUF_WRITE_0,254,18,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_1,254,20,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_2,254,22,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_3,254,24,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_4,254,26,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_5,254,28,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_6,254,30,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_7,254,32,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_8,254,34,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_9,254,36,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_10,254,38,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_11,254,40,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_12,254,42,1,1,0,0,0,2,16,0,0,0,1,1,
BUF_WRITE_13,254,44,1,1,0,0,0,2,16,0,0,0,1,1,
