TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067508-01-a.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/23/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067508a_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_067438a,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_067438a,N/A,?,?,?,?,?,?,?
2,9,E025746,CAP CER 0.1uF 50V 10% X5R 0402, 0.1uF,C0402,10,50V,N/A,"C1,C2,C8,C10,C11,C12,C13,C14,C15",MURATA, GRM155R61H104KE19D,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,1,E007203,CAP CER 0.01uF 25V 10% X8R 0402, 0.01uF,C0402,10,25V,N/A,C16,TDK, C1005X8R1E103K,REL,A004-0011-086,40302JH399,N/A,N/A,7001959,?,?
4,1,E018707,CAP CER 0.1uF 16V 10% X7R 0402, 0.1uF,C0402,10,16V,N/A,C17,KEMET, C0402C104K4RACTU,REL,N/A,N/A,N/A,N/A,7002106,?,?
5,2,E022190,CAP CER 4.7uF 16V 10% X6S 0603, 4.7uF,C0603,10,16V,N/A,"C3,C5",MURATA, GRM188C81C475KE11D,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,1,E020410,CAP CER 0.01uF 25V 5% X7R 0402, 0.01uF,C0402,5,25V,N/A,C4,KEMET, C0402C103J3RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
7,2,E007476,CAP CER 18pF 50V 5% C0G 0402, 18pF,C0402,5,50V,N/A,"C6,C7",MURATA, GJM1555C1H180JB01D,REL,ADD_TO_STOCK_246,N/A,N/A,1572_CAB3,7002671,?,?
8,1,E026618,CAP CER 1uF 25V 10% X5R 0402, 1uF,C0402,10,25V,N/A,C9,TDK, C1005X5R1E105K050BC,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E049966,"LED GREEN CLEAR CHIP SMD, 571NM", LTST-S270KGKT,LEDSML63W24H49,N/A,2V,3/40W,DS1,LITE-ON TECHNOLOGY, LTST-S270KGKT,REL,N/A,N/A,N/A,N/A,N/A,?,?
10,1,E049965,"LED RED CLEAR CHIP SMD , 621NM", LTST-S270EKT,LEDSML63W24H49,N/A,2V,1/10W,DS2,LITE-ON TECHNOLOGY, LTST-S270EKT,REL,N/A,N/A,N/A,N/A,N/A,?,?
11,1,E025013,MOD USB TYPE-C CONNECTOR, DX07S024JJ3,MDX07S024JJ3,N/A,N/A,N/A,J1,JAE (JAPAN AVIATION ELECTRONICS), DX07S024JJ3,REL,N/A,N/A,N/A,N/A,N/A,?,?
12,1,E034453,"CONN-PCB MICRO-SD CARD SKT, NONE PUSH TOP MOUNT", 114-00841-68,CNAMP114-00841-68,N/A,N/A,N/A,P1,AMPHENOL, 114-00841-68,REL,N/A,N/A,N/A,N/A,N/A,?,?
13,1,E034396,"CONN-PCB 24POS RUGGED RELIABLE MICRO SKT, FEMALE DUAL ROW, 1MM PITCH, WITH ALIGNMENT PIN", CLM-112-02-LM-D-A,CNSMFHDR2X12L485W100H91,N/A,N/A,N/A,P2,SAMTEC INC., CLM-112-02-LM-D-A,REL,N/A,N/A,N/A,N/A,N/A,?,?
14,1,E021619,CONN-PCB TAG-CONNECT IN CKT CABLE WITH RJ12 MODULAR PLUG, TC2030-MCP-NL,CNTAGTC2030-MCP-NL,N/A,N/A,N/A,P6,"TAG-CONNECT,LLC", TC2030-MCP-NL,REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E049971,"CONN-PCB 5POS DISCONNECTABLE INSULATION DISPLACEMENT HDR, 1MM PITCH SIDE ENTRY", SM05B-SRSS-TB(LF)(SN),CNJSTSM05B,N/A,N/A,N/A,P7,JST, SM05B-SRSS-TB(LF)(SN),REL,N/A,N/A,N/A,N/A,N/A,?,?
16,1,E049733,CONN-PCB 3POS UNSHROUDED HDR RA 2MM PITCH, MMT-103-01-L-SH-P,CNSMHDR1X3L236W79H84,N/A,N/A,N/A,P8,SAMTEC INC., MMT-103-01-L-SH-P,REL,N/A,N/A,N/A,N/A,N/A,?,?
