Label,Page,Addr,ReadFlag,WriteFlag,ReadProtected,WriteProtected,Default,NumBytes,ReadLen,TwosCompl,CalReg,RegOffset,RegScale
PAGE_ID,253,0,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
BUF_CONFIG,253,2,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
BUF_LEN,253,4,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
BUF_MAX_CNT,253,6,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DIO_CONFIG,253,8,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
IMU_SPI_CONFIG,253,10,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_SPI_CONFIG,253,12,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_COMMAND,253,14,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_SCR_0,253,16,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_SCR_1,253,18,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_SCR_2,253,20,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
USER_SCR_3,253,22,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
STATUS,253,108,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
FW_DAY_MONTH,253,110,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
FW_YEAR,253,112,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
FW_REV,253,114,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DEV_SN_0,253,116,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DEV_SN_1,253,118,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DEV_SN_2,253,120,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DEV_SN_3,253,122,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
DEV_SN_4,253,124,1,1,FALSE,FALSE,NONE,2,16,0,0,0,1
